"Dictionnaire Geostandards Risques",,,,,,,,,
"- Les tables commençant dont le nom commencent par ""Type"" sont des tables décrivant les types énumérés (""code"", ""libellé"").
- Les attributs indiqués en gras constituent la clef primaire de la table (plusieurs attributs peuvent être mobilisés)
",,,,,,,,,
,,,,,,,,,
113,"Risque naturel ; Inondation ; Par une crue torrentielle ou à montée rapide de cours d'eau",,,,,,,,
114,"Risque naturel ; Inondation ; Par ruissellement et coulée de boue",,,,,,,,
115,"Risque naturel ; Inondation ; Par lave torrentielle (torrent et talweg)",,,,,,,,
116,"Risque naturel ; Inondation ; Par remontées de nappes naturelles",,,,,,,,
117,"Risque naturel ; Inondation ; Par submersion marine",,"ajouter distinction choc mécanique/projections de matériaux ? => lien Gaspar","Position DGPR/BRIL : le choc mécanique des vagues est intrinsèquement lié à la submersion marine (au même titre que d'autres manifestations) : il n'est pas souhaité de l'identifier en tant que type d'aléa explicite (pas de modification à faire par rapport aux codes Gaspar)",,,,,
118,"Risque naturel ; Inondation ; Choc mécanique des vagues",,,,,,,,
121,"Risque naturel ; Mouvement de terrain ; Affaissement et effondrements (cavités souterraines hors mines)",,,,,,,,
123,"Risque naturel ;  Mouvement de terrain ; Eboulement ou chutes de pierres et de blocs",,,,,,,,
124,"Risque naturel ;  Mouvement de terrain; Glissement de terrain",,,,,,,,
125,"Risque naturel ;  Mouvement de terrain; Avancée dunaire",,,,,,,,
126,"Risque naturel ;  Mouvement de terrain; Recul du trait de côte et de falaises",,,,,,,,
13,"Risque naturel ;  Séisme",,,,,,,,
14,"Risque naturel ;  Avalanche",,,,,,,,
15,"Risque naturel ;  Eruption volcanique",,,,,,,,
16,"Risque naturel ;  Feu de forêt",,,,,,,,
171,"Risque naturel ;  Phénomène lié à l'atmosphère ; Cyclone / Ouragan",,,,,,,,
172,"Risque naturel ;  Phénomène lié à l'atmosphère ; Tempête et grains (vent)",,,,,,,,
174,"Risque naturel ;  Phénomène lié à l'atmosphère ; Foudre",,,,,,,,
175,"Risque naturel ;  Phénomène lié à l'atmosphère; Grêle",,,,,,,,
176,"Risque naturel ;  Phénomène lié à l'atmosphère; Neige et pluies verglaçantes",,,,,,,,
18,"Risque naturel ;  Radon ",,,,,,,,
211,"Risque industriel ; Effet thermique",,,,,,,,
212,"Risque industriel ; Effet de surpression",,,,,,,,
213,"Risque industriel ; Effet toxique",,,,,,,,
214,"Risque industriel ; Effet de projection",,,,,,,,
22,"Risque industriel ; Nucléaire",,,,,,,,
23,"Risque industriel ; Rupture de barrage",,,,,,,,
24,"Risque industriel ; Transport de marchandises dangereuses",,,,,,,,
25,"Risque industriel ; Engins de guerre",,,,,,,,
311,"Risque minier ; Affaissement minier ; Effondrements généralisés",,,,,,,,
312,"Risque minier ; Affaissement minier ; Effondrements localisés",,,,,,,,
313,"Risque minier ; Affaissement minier ; Affaissements progressifs",,,,,,,,
314,"Risque minier ; Affaissement minier ; Tassements",,,,,,,,
315,"Risque minier ; Affaissement minier ; Glissements ou mouvements de pente",,,,,,,,
316,"Risque minier ; Affaissement minier ; Coulées",,,,,,,,
317,"Risque minier ; Affaissement minier ; Ecroulements rocheux",,,,,,,,
321,"Risque minier ; Inondations de terrains miniers ; Pollution des eaux souterraines et de surface",,,,,,,,
322,"Risque minier ; Inondations de terrains miniers ; Pollution des sédiments et des sols",,,,,,,,
33,"Risque minier ; Emissions en surface de gaz de mine",,,,,,,,
34,"Risque minier ; Echauffement des terrains de dépôts",,,,,,,,
,,,,,,,,,
TypeNiveauAlea,,,,,,,,,
"Liste des valeurs possibles pour caractériser les niveaux d'aléas. Les règles de détermination du niveau varient en fonction de la zone et du type d'aléa et sont précisées dans des guides dédiés qui sont référencés dans les métadonnées.",,,,,,,,,
,,,,,,,,,
Code,Libellé,,,,,,,,
07,"Très fort plus",,,,,,,,
06,"Très fort","Utilisé par PPRI",,,,,,,
05,"Fort plus",,,,,,,,
04,Fort,"Utilisé par PPRI",,,,,,,
03,"Moyen plus",,,,,,,,
02,Moyen,"Utilisé par PPRI (Modéré)",,,,,,,
01,"Faible ","Utilisé par PPRI",,,,,,,
,,,,,,,,,
,,,,,,,,,
"TypeReferenceInternet ",,,,,,,,,
Code,Libellé,,,,,,,,
,"Réglement signé (PPR)",,,,,,,,
,"zonage réglementaire signé (PPR)",,,,,,,,
,"cartes signée (usage PPR et DI)",,,,,,,,
,"autre cartes (PPR, DI, PaC)",,,,,,,,
,autres,,,,,,,,
,,,,,,,,,
,,,,,,,,,
TypeSurAlea,,,,,,,,,
"Code ",Libellé,Description,,,,,,,
01,"bande de précaution","Bande de précaution située à l'arrière d'un système d'endiguement, telle que définie dans le [Décret PPRi:2019](reference documentaire à indiquer)",,,,,,,
02,"bande particulière","Il s'agit de la zone décrivant les secteurs soumis aux chocs de vagues et aux projections tels que définis dans le [Guide PPRL:2014](reference documentaire à indiquer)",,,,,,,
,,,,,,,,,
,,,,,,,,,
TypeRefExterneOuvrage,,,,,,,,,
,,,,,,,,,
Code,Libellé,Description,,,,,,,
,SIOUH,"Système d'Information des Ouvrages Hydrauliques - dernière version applicable version 4 - 2017 ",,,,,,,
,ROE,"Référentiel des obstacles à l'écoulement - Thème : Ouvrages - Dernière version applicable version 1.2 - 2014",,,,,,,
,Autre,"Autre référentiel ne faisant pas partie de la liste des référentiels ci-dessus",,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
